Samples	Label	Sex	Fraction	Comb	Comb2	Comb3	Family	Ab
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Peniophoraceae	1.33251332513325
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Polyporaceae	1.04551045510455
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Filobasidiaceae	0
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Diatrypaceae	0.768757687576876
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Meruliaceae	0.943009430094301
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Erysiphaceae	0
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Phaeosphaeriaceae	0
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Leotiaceae	0.3690036900369
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Other_fungi	46.6277162771628
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Davidiellaceae	2.64452644526445
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Trichocomaceae	20.7052070520705
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Malasseziaceae	11.0291102911029
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Saccharomycetaceae	2.0910209102091
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Pleosporaceae	0.194751947519475
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Corticiaceae	14.8318983189832
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Dothioraceae	1.230012300123
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Wallemiaceae	0.984009840098401
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Cystofilobasidiaceae	0
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Hymenochaetaceae	0
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Cordycipitaceae	0.174251742517425
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Peniophoraceae	0.010250102501025
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Polyporaceae	0.0615006150061501
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Filobasidiaceae	6.24231242312423
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Diatrypaceae	1.3120131201312
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Meruliaceae	0.584255842558426
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Erysiphaceae	0
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Phaeosphaeriaceae	0
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Leotiaceae	0
 12CF_10h_heavy	12C	Female	Heavy	10h_Heavy	12CFemale	12CF	Other_fungi	37.9048790487905
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Davidiellaceae	10.0348503485035
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Trichocomaceae	2.55227552275523
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Malasseziaceae	7.50307503075031
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Saccharomycetaceae	2.72652726527265
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Pleosporaceae	0.4920049200492
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Corticiaceae	11.7261172611726
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Dothioraceae	0.02050020500205
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Wallemiaceae	0.984009840098401
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Cystofilobasidiaceae	0.461254612546125
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Hymenochaetaceae	0.727757277572776
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Cordycipitaceae	0.02050020500205
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Peniophoraceae	0.881508815088151
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Polyporaceae	0.02050020500205
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Filobasidiaceae	0.010250102501025
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Diatrypaceae	0
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Meruliaceae	0
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Erysiphaceae	0
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Phaeosphaeriaceae	0.010250102501025
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Leotiaceae	0.604756047560476
 12CF_30h_light	12C	Female	Light	30h_Light	12CFemale	12CF	Other_fungi	61.2238622386224
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Davidiellaceae	10.0041000410004
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Trichocomaceae	25.0512505125051
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Malasseziaceae	11.2136121361214
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Saccharomycetaceae	0.0615006150061501
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Pleosporaceae	0
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Corticiaceae	0.010250102501025
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Dothioraceae	0.010250102501025
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Wallemiaceae	0
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Cystofilobasidiaceae	0.030750307503075
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Hymenochaetaceae	3.4030340303403
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Cordycipitaceae	0
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Peniophoraceae	1.04551045510455
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Polyporaceae	0.0820008200082001
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Filobasidiaceae	0.010250102501025
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Diatrypaceae	0.1230012300123
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Meruliaceae	0.010250102501025
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Erysiphaceae	0
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Phaeosphaeriaceae	0.440754407544075
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Leotiaceae	0.22550225502255
 12CF_30h_heavy	12C	Female	Heavy	30h_Heavy	12CFemale	12CF	Other_fungi	48.2779827798278
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Davidiellaceae	13.9811398113981
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Trichocomaceae	6.07831078310783
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Malasseziaceae	7.59532595325953
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Saccharomycetaceae	4.33579335793358
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Pleosporaceae	2.53177531775318
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Corticiaceae	0.2460024600246
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Dothioraceae	1.58876588765888
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Wallemiaceae	12.8023780237802
