OTU	Phylum	Class	Order	Family	Genus	Species
OTU460	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	unclassified	unclassified
OTU461	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Sigarispora	Sigarispora_arundinis
OTU462	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU463	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unclassified	unclassified
OTU464	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU465	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia_bulbillosa
OTU466	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hyphodermella	Hyphodermella_corrugata
OTU467	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Muscodor	Muscodor_fengyangensis
OTU468	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium_sp
OTU469	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Neoerysiphe	Neoerysiphe_galii
OTU470	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU471	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	Chloridium_sp
OTU472	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_caesiellus
OTU473	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_kiliense
OTU474	Ascomycota	Sordariomycetes	Diaporthales	unclassified	unclassified	unclassified
OTU475	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_metapsilosis
OTU476	Ascomycota	Sordariomycetes	Sordariales	unclassified	unclassified	unclassified
OTU477	Basidiomycota	Agaricomycetes	Cantharellales	unclassified	unclassified	unclassified
OTU478	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU479	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
