OTU	Phylum	Class	Order	Family	Genus	Species
OTU80	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Glomerellaceae	Colletotrichum	Colletotrichum_crassipes
OTU81	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Chalara	Chalara_holubovae
OTU82	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU83	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Exidia	Exidia_glandulosa
OTU84	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	unclassified	unclassified
OTU85	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	unclassified_Diatrypaceae	Diatrypaceae_sp
OTU86	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_fujikuroi
OTU87	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_canadensis
OTU88	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU89	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU90	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU91	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
OTU92	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_citrinum
OTU93	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus_albidus
OTU94	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	unclassified_Tremellales_fam_Incertae_sedis	Tremellales_fam_Incertae_sedis_sp
OTU95	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora	Schizopora_paradoxa
OTU96	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Bjerkandera	Bjerkandera_adusta
OTU97	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Tubaria	unclassified
OTU98	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU99	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU100	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia_recondita
OTU101	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	Podosphaera_tridactyla
OTU102	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU103	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	Pleosporales_sp
OTU104	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pseudeurotiaceae	unclassified_Pseudeurotiaceae	Pseudeurotiaceae_sp
OTU105	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	unclassified	unclassified
OTU106	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	unclassified
OTU107	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU108	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis_gallica
OTU109	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unclassified
OTU110	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma_australe
OTU111	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_canadensis
OTU112	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU113	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU114	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU115	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Verpa	Verpa_conica
OTU116	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU119	Zygomycota	Mucoromycotina_cls_Incertae_sedis	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides
OTU120	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	unclassified
OTU121	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU122	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU123	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Trichaptum	Trichaptum_biforme
OTU124	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Aureobasidium	Aureobasidium_pullulans
OTU125	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_lycii
OTU126	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU127	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU128	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Chalastospora	Chalastospora_ellipsoidea
OTU129	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	unclassified	unclassified
OTU130	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoacia	Mycoacia_nothofagi
OTU131	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
OTU132	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus_tuberaster
OTU133	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_magnum
OTU134	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU135	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	unclassified	unclassified
OTU136	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	unclassified
OTU137	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	unclassified	unclassified
OTU138	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_baii
OTU139	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU140	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	unclassified
OTU141	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_fumigatus
OTU142	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	unclassified_Corticiaceae	Corticiaceae_sp
OTU143	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	Phlebiopsis_gigantea
OTU144	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hyphodermella	Hyphodermella_rosae
OTU145	Basidiomycota	Microbotryomycetes	Sporidiobolales	unclassified_Sporidiobolales	unclassified_Sporidiobolales	Sporidiobolales_sp
OTU146	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Gloeoporus	Gloeoporus_pannocinctus
OTU147	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU148	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU149	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Cryptostroma	Cryptostroma_corticale
OTU150	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	unclassified_Malasseziales	unclassified_Malasseziales	Malasseziales_sp
OTU151	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU152	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU153	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_maculata
OTU154	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Myxotrichaceae	Pseudogymnoascus	Pseudogymnoascus_roseus
OTU155	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_intricans
OTU156	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Lalaria	Lalaria_sp
OTU157	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU158	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus	Resupinatus_sp
OTU159	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	unclassified_Corticiaceae	Corticiaceae_sp
OTU160	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU161	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	unclassified
OTU162	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	unclassified
OTU163	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis
OTU164	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU165	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis_confragosa
OTU166	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	unclassified
OTU167	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa_spinosa
OTU168	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Infundichalara	Infundichalara_sp
OTU169	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sp
OTU170	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_versicolor
OTU171	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU172	Ascomycota	Sordariomycetes	Hypocreomycetidae_ord_Incertae_sedis	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis_nigrescens
OTU173	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Antrodia	Antrodia_minuta
OTU174	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	unclassified_Chionosphaeraceae	Chionosphaeraceae_sp
OTU175	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU176	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum_hirsutum
OTU177	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	Hyphodontia_radula
OTU178	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified
OTU179	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_sebi
OTU180	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU181	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Dioszegia	Dioszegia_hungarica
OTU182	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU183	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified
OTU184	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Bullera	Bullera_globospora
OTU185	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma_fasciculare
OTU186	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Cabalodontia	Cabalodontia_sp
OTU187	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU188	Ascomycota	Eurotiomycetes	unclassified	unclassified	unclassified	unclassified
OTU189	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_dehoogii
OTU190	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
OTU191	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU192	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	Golovinomyces_montagnei
OTU193	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU194	Chytridiomycota	Chytridiomycetes	Olpidiales	Olpidiaceae	unclassified_Olpidiaceae	Olpidiaceae_sp
OTU195	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	unclassified
OTU197	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU198	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Resinicium	Resinicium_bicolor
OTU199	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	unclassified	unclassified
OTU200	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU201	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU202	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_strossmayeri
OTU203	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU204	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU205	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU206	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU207	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU208	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
OTU209	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Coniosporium	Coniosporium_apollinis
OTU210	Zygomycota	Mortierellomycotina_cls_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella	Mortierella_humilis
OTU211	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU212	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_sp
OTU213	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU214	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_pseudolongus
OTU215	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Phacidiella	Phacidiella_eucalypti
OTU216	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	unclassified
OTU217	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Engyodontium	Engyodontium_album
OTU218	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	unclassified	unclassified
OTU219	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Eupenidiella	Eupenidiella_venezuelensis
OTU220	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_cordiana
OTU221	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum
OTU222	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	Hyphodontia_alutaria
OTU223	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia_ferruginosa
OTU224	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Debaryomyces	Debaryomyces_prosopidis
OTU225	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Cerinosterus	Cerinosterus_luteoalbus
OTU226	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Anomoloma	Anomoloma_sp
OTU227	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	unclassified
OTU228	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Periconia	Periconia_pseudobyssoides
OTU229	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU230	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Dioszegia	unclassified
OTU231	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU232	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Coniosporium	Coniosporium_apollinis
OTU233	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unclassified	unclassified
OTU234	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Engyodontium	Engyodontium_album
OTU235	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_microscopica
OTU236	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_piluliformis
OTU237	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU238	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_pseudorobusta
OTU239	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	unclassified	unclassified
OTU240	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromatales_fam_Incertae_sedis	Jaminaea	Jaminaea_angkorensis
OTU241	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Rhizosphaera	Rhizosphaera_sp
OTU242	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_hyalinulum
OTU243	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	Hyphodontia_radula
OTU244	Ascomycota	Sordariomycetes	Sordariales	unclassified	unclassified	unclassified
OTU245	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Stilbella	Stilbella_sp
OTU246	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake
OTU247	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_pinicola
OTU248	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Ascochyta	Ascochyta_medicaginicola
OTU249	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_santamariae
OTU250	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU252	Ascomycota	Leotiomycetes	unclassified	unclassified	unclassified	unclassified
OTU253	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_friedmannii
OTU254	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU255	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriales_fam_Incertae_sedis	Nigrospora	Nigrospora_oryzae
OTU256	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU257	Basidiomycota	Agaricomycetes	Polyporales	unclassified	unclassified	unclassified
OTU258	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	unclassified	unclassified
OTU259	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Tremella	Tremella_mesenterica
OTU260	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	unclassified
OTU261	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU262	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_ellisii
OTU263	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_victoriae
OTU264	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU265	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	unclassified
OTU266	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU267	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU268	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora_teres
OTU269	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU270	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Steccherinum	Steccherinum_ochraceum
OTU271	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU272	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified	unclassified	unclassified
OTU273	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU274	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU275	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Bulleromyces	Bulleromyces_albus
OTU276	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
OTU277	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	unclassified
OTU278	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp
OTU279	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_macrostomum
OTU280	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Flavoplaca	Flavoplaca_flavocitrina
OTU281	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	unclassified	unclassified
OTU282	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Guehomyces	Guehomyces_pullulans
OTU283	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	unclassified
OTU284	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	unclassified
OTU285	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU286	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	unclassified
OTU287	Ascomycota	Leotiomycetes	unclassified	unclassified	unclassified	unclassified
OTU288	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU289	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_herbarum
OTU290	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU291	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_magnum
OTU292	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU293	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU294	Ascomycota	Eurotiomycetes	Eurotiales	Eurotiales_fam_Incertae_sedis	Thermomyces	Thermomyces_lanuginosus
OTU295	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
OTU296	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Lophodermium	Lophodermium_australe
OTU297	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_incarnata
OTU298	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_sp
OTU299	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unclassified	unclassified
OTU300	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	Hyphodontia_arguta
OTU301	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU302	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_aureus
OTU303	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Engyodontium	Engyodontium_album
OTU304	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	Pleosporales_sp
OTU305	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU306	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU307	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU308	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU309	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_victoriae
OTU310	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU311	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dissoconium	Dissoconium_aciculare
OTU312	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	Coniophora_puteana
OTU313	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_triglochinicola
OTU314	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
OTU315	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora_medusae-populina
OTU316	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	Cylindrobasidium_evolvens
OTU318	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU319	Basidiomycota	Agaricomycetes	Polyporales	unclassified	unclassified	unclassified
OTU320	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Fomes	Fomes_fomentarius
OTU321	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unclassified	unclassified
OTU322	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
OTU323	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU324	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_pseudodeflectus
OTU325	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU326	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
OTU327	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Irpex	unclassified
OTU328	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Sporobolomyces	Sporobolomyces_ruberrimus
OTU329	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU330	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU331	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Pseudoclitocybe	Pseudoclitocybe_cyathiformis
OTU332	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU333	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	unclassified
OTU334	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	unclassified
OTU335	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	unclassified	unclassified
OTU336	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_populinum
OTU337	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unclassified	unclassified
OTU338	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	unclassified	unclassified
OTU339	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	Lecythophora_fasciculata
OTU340	Ascomycota	Sordariomycetes	Diaporthales	Melanconidaceae	Melanconiella	unclassified
OTU341	Ascomycota	Dothideomycetes	Capnodiales	unclassified	unclassified	unclassified
OTU342	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU343	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU344	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_sambuci
OTU345	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU346	Basidiomycota	Agaricomycetes	Cantharellales	unclassified	unclassified	unclassified
OTU347	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	Fomitiporia_punicata
OTU348	Ascomycota	Dothideomycetes	Capnodiales	unclassified	unclassified	unclassified
OTU349	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Periconia	Periconia_sp
OTU350	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces_pyricola
