Fungi	X23PG	X2OHGlu	X6PG	aKG	Cit	F6P	FBP	G6P	Gly3P	IsoCit	Lact	Mala	Man6P	P5P	PEP	PSer	Sed7P	Succ	GMP
Alternaria_4h	-0.904046501379427	-0.0642783961869528	-0.199521158268182	-0.871379208945575	-0.908502524052643	-0.81443417799817	0.98623693336689	-0.921512269931755	-0.0694449889205231	0.222958397029137	0.2539235742583	-0.967081391886234	-0.461711832214714	-0.700048332180281	-0.956380557913257	-0.146387116745553	-0.97871129841287	-0.805123166311281	-0.0610366632706025
Alternaria_10h	0.283060867279819	-0.69377624957271	-0.436653724432364	-0.636730045217258	-0.566118667627149	-0.683128768975375	0.6861971106743	-0.709580184189267	0.378605433454941	-0.998158722988239	0.0173659560206762	-0.977551554006201	-0.603012591118482	-0.483191733841878	-0.083586697591221	-0.998608679259417	-0.441056627439212	-0.899029989330575	0.934662223021917
Alternaria_30h	-0.923591932451975	-0.378476295760265	-0.685097296658445	0.49491087784237	0.375520829247908	-0.999960095333598	-0.957608729836937	-0.991671866770192	0.376932305673921	-0.144122284234555	0.32173010515043	0.518733353750904	-0.999340087421227	0.516399930396997	-0.91632168875428	-0.667175458415514	-0.844698128224484	0.78065038542246	-0.962054118611978
Aureobasidium_4h	-0.611345866164599	0.395911982280611	0.267227053357605	-0.553551801902248	-0.999189125806903	-0.462107233025805	0.80359551935838	-0.644656028923475	0.391151627113526	-0.244045491971869	-0.213004374228239	-0.746053826001633	-0.00854046129916182	-0.29941709679174	-0.719419514866014	0.318805029821765	-0.9651781568739	-0.447975466502896	-0.507652711216572
Candida_4h	-0.371457193570615	-0.992148047226554	-0.965888425419939	-0.436509294310327	0.472552202017095	-0.529463734345454	0.104833291891845	-0.331379143669756	-0.991487118112494	0.959401781594835	0.949922272031965	-0.194965381118668	-0.857194784109258	-0.670035436978999	-0.233204717266813	-0.978448010232799	0.264596398574362	-0.542859786034472	1
Candida_10h	-0.983267571899077	-0.64443417713544	-0.84954739569424	-0.700966877835728	-0.761233208024776	-0.655590274691947	-0.794596160159185	-0.627314625650104	-0.959803469008087	0.0430872287033437	-0.996267501665811	-0.108280609088309	-0.730961739447023	-0.82074038457755	-0.982477362337755	0.0510149173406233	-0.846952410420307	-0.342384054319781	0.256785367098892
Candida_30h	0.767921434512185	0.995586163333696	-0.327748256731542	0.540409893957259	-0.99528162183567	0.471572809408364	0.188787125864609	0.345705911897192	0.645879222237458	0.943580822388834	0.689718546746166	0.516953129964176	0.431187479152396	0.519285640853326	0.779670894596865	0.969338831060947	0.8658942353278	0.191755611730664	0.204327464989207
Cladosporium_4h	0.562172477316221	0.995859179916101	0.99896452869062	0.619532865366708	-0.272270761031938	0.699287737249883	-0.315950765284199	0.526260874756995	0.996316571620507	-0.997586505235562	-0.994865756702139	0.401042390725041	0.947789093624832	0.813815998590089	0.436589491291006	0.999964361116534	-0.0513304962673006	0.710543929474658	-0.976669811137696
Cladosporium_10h	-0.822112696932241	0.0884754480411692	-0.224326951611366	0.0121217783480233	-0.0762641995240387	0.0738430425698734	-0.990709189311369	0.110547801116771	-0.875474649334916	0.739262772571542	-0.640765429681765	0.629089268944858	-0.0308509318551723	-0.172957272390753	-0.560047951743264	0.744584008408536	-0.219549184017586	0.425415748732157	-0.504825505684475
Cladosporium_30h	-0.926618353395625	-0.385841983953759	-0.679269309401928	0.48796911972975	0.382896199771325	-0.999999536398959	-0.955282191912384	-0.990613825316356	0.369537601024397	-0.152005130530087	0.314173033728586	0.51190248885858	-0.999018821602155	0.509557889409957	-0.919484367045128	-0.673091598587644	-0.848937524189663	0.7756441931724	-0.959848699755784
