"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"
"1"	0.28116480616023	0.959050870634245	0.872122676936041	0.326452109278352	0.274453057375864	0.394094966056821	0.105743112777056	0.253909150604744	0.955754335008233	0.856857182776109	0.836557652907298	0.163800217002315	0.69447084239946	0.506323535255813	0.188723765182037	0.906470974398425	0.131596153917497	0.404198312890598	0.961118685901517
"2"	0.581256871134767	0.740857064391218	0.827785258089422	0.626544174252889	0.0256390075986729	0.694187031031358	0.405835177751593	0.554001215579281	0.74415360001723	0.843050752249354	0.863350282118165	0.463892281976851	0.994562907373997	0.806415600230349	0.488815830156574	0.793436960627039	0.168495911057039	0.704290377865135	0.661026620926981
"3"	0.757716507938253	0.0798304434642383	0.166758637162441	0.712429204820131	0.686665628525653	0.644786348041661	0.933138201321427	0.784972163493738	0.0831269790902499	0.182024131322373	0.202323661191184	0.875081097096168	0.344410471699023	0.53255777884267	0.850157548916445	0.132410339700058	0.82952253198402	0.634683001207884	1.34157585525081e-08
"4"	0.619931415923736	0.0579546485502794	0.0289735451479228	0.574644112805615	0.82445072054017	0.507001256027145	0.79535310930691	0.647187071479222	0.0546581129242677	0.0442390393078564	0.064538569176667	0.737296005081651	0.206625379684506	0.394772686828153	0.712372456901928	0.00537475231444871	0.967307623998537	0.496897909193368	0.137785092014516
"5"	0.757716507938253	0.0798304434642372	0.166758637162441	0.712429204820131	0.686665628525653	0.644786348041661	0.933138201321427	0.784972163493738	0.0831269790902482	0.182024131322373	0.202323661191184	0.875081097096167	0.344410471699022	0.53255777884267	0.850157548916445	0.132410339700057	0.82952253198402	0.634683001207884	0
"6"	0.111584551720021	0.789470616194036	0.702542422495832	0.156871854838142	0.444033311816073	0.224514711616612	0.0638371416631524	0.0843288961645348	0.786174080568024	0.6872769283359	0.666977398467089	0.00578003743789172	0.524890587959251	0.336743280815603	0.0191435107418252	0.736890719958215	0.301176408357706	0.234618058450389	0.869301059658273
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	0.757716507938253	0.0798304434642378	0.166758637162441	0.712429204820131	0.686665628525653	0.644786348041661	0.933138201321427	0.784972163493738	0.0831269790902482	0.182024131322373	0.202323661191184	0.875081097096168	0.344410471699022	0.53255777884267	0.850157548916445	0.132410339700057	0.82952253198402	0.634683001207884	0
"9"	0.757716507938253	0.0798304434642372	0.166758637162441	0.712429204820131	0.686665628525653	0.644786348041661	0.933138201321427	0.784972163493738	0.0831269790902493	0.182024131322373	0.202323661191184	0.875081097096168	0.344410471699022	0.53255777884267	0.850157548916445	0.132410339700057	0.82952253198402	0.634683001207884	1.34157585525081e-08
"10"	0.575616825395081	0.746497110130904	0.833425303829108	0.620904128513203	0.0199989618589882	0.688546985291672	0.400195132011907	0.548361169839595	0.749793645756916	0.84869079798904	0.868990327857851	0.458252236237166	0.988922861634311	0.800775554490663	0.483175784416888	0.799077006366724	0.162855865317353	0.698650332125449	0.666666666666667
